personLabel,placeLabel,countryLabel,organisationLabel,orgnPlaceLabel,orgnCountryLabel,univLabel,founded
Magnus Gabriel De la Gardie,Tallinn,Estland,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Nils Peter Angelin,Lunds domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Stellan Arvidson,Vänersborgs församling,Sverige,Greifswalds universitet,Greifswald,Tyskland,Lunds universitet,1666-12-19T00:00:00Z
Helge von Koch,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Göran Andersson,Malmö,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Erik Stensiö,Oskarshamn,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Olof Celsius den äldre,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Rolf Sievert,Stockholm,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Gunnar Andersson,Knista församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Göran Andersson,Malmö,Sverige,ETH Zürich,Zürich,Schweiz,Lunds universitet,1666-12-19T00:00:00Z
Tor Andræ,Vena församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Knut Wicksell,Maria Magdalena församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Tor Andræ,Vena församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Helge von Koch,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gunnar Helén,Vingåker,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hilding Kjellman,Uppsala domkyrkoförsamling,Sverige,Göteborgs högskola,Göteborg,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hilding Kjellman,Uppsala domkyrkoförsamling,Sverige,Högre lärarinneseminariet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Peter Englund,Boden,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl August Hagberg,Lunds domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl-Gustav Esseen,Linköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Peter Forsskål,Helsingfors,Finland,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Peter Thunberg,Jönköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gerard De Geer,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Frans Michael Franzén,Uleåborg,Finland,Kungliga Akademien i Åbo,Åbo,Finland,Uppsala universitet,1477-01-01T00:00:00Z
Jakob Ulvsson,Uppland,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Herman Schultz,Nykvarn,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johannes Rudbeckius,Almby församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Theodor Magnus Fries,Femsjö församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Eberson,Malmö,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
David Nehrman Ehrenstråhle,Malmö,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Matthias Asp,Norrköpings S:t Olofs församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Carl-Gustav Esseen,Linköping,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl August Hagberg,Lunds domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Knut Lundmark,Älvsby församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Petter Jakob Hjelm,Göteryds församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Albert Atterberg,Härnösands domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Gottschalk Wallerius,Stora Mellösa församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Rutger Sernander,Viby församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Ulf Grahn,Solna kommun,Sverige,Catholic University of America,"Washington, D.C.",USA,Uppsala universitet,1477-01-01T00:00:00Z
Göran Malmqvist,Jönköping,Sverige,Australian National University,Canberra,Australien,Uppsala universitet,1477-01-01T00:00:00Z
Anders Dahl,Varnhem,Sverige,Helsingfors universitet,Helsingfors,Finland,Uppsala universitet,1477-01-01T00:00:00Z
John Ask,Lunds domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Oskar Medin,Axbergs församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Axel Hägerström,Vireda församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
H.S. Nyberg,Söderbärke församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Bengt Westerlund,Gävle,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Fredrik Ferdinand Carlson,Alsike församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hugo Alfvén,Jakob och Johannes församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Ihre,Lunds domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hans Runemark,Chicago,USA,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Stefan Bengtson,Sverige,Sverige,Naturhistoriska riksmuseet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Matthias Asp,Norrköpings S:t Olofs församling,Sverige,Uppsala universitetsbibliotek,Uppsala,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Göran Malmqvist,Jönköping,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Magnus Nyrén,Brunskogs socken,Sverige,Pulkovo-observatoriet,Sankt Petersburg,Ryssland,Uppsala universitet,1477-01-01T00:00:00Z
Carl Fredrik Mennander,Stockholm,Sverige,Kungliga Akademien i Åbo,Åbo,Finland,Uppsala universitet,1477-01-01T00:00:00Z
Ulf Ellervik,Linköping,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Oscar Almgren,Maria Magdalena församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Aurivillius,Forsa församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johannes Gezelius den äldre,Romfartuna församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Martin Vahl,Bergen,Norge,Köpenhamns universitet,Köpenhamns kommun,Danmark,Uppsala universitet,1477-01-01T00:00:00Z
Bert Bolin,Nyköping,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lennart von Post,Västerås Lundby församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gustaf Åkerman,Stockholm,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Per-Olov Löwdin,Uppsala,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gösta Mittag-Leffler,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hannes Alfvén,Norrköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Elias Tillandz,Rogberga socken,Sverige,Kungliga Akademien i Åbo,Åbo,Finland,Uppsala universitet,1477-01-01T00:00:00Z
Johan Anton Waldenström,Luleå,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Theodor Magnus Fries,Femsjö församling,Sverige,Botaniska trädgården,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Piper,Storkyrkoförsamlingen,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Alf Ross,Köpenhamn,Danmark,Köpenhamns universitet,Köpenhamns kommun,Danmark,Uppsala universitet,1477-01-01T00:00:00Z
Johan Andreas Murray,Stockholm,Sverige,Göttingens universitet,Göttingen,Tyskland,Uppsala universitet,1477-01-01T00:00:00Z
Carl Jonas Love Almqvist,Adolf Fredriks församling,Sverige,Nya Elementar,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Per-Olov Löwdin,Uppsala,Sverige,University of Florida,Gainesville,USA,Uppsala universitet,1477-01-01T00:00:00Z
Jaan Puhvel,Tallinn,Estland,"University of California, Berkeley",Berkeley,USA,Uppsala universitet,1477-01-01T00:00:00Z
Fredrik August Cederschiöld,Storkyrkoförsamlingen,Sverige,Karolinska Institutet,Solna kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Johan Vising,Västernorrlands län,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Nils Dunér,Billeberga församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Yngve Larsson,Sundsvalls församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Sten Selander,Storkyrkoförsamlingen,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Birger Bohlin,Lidköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Gyllenborg,Storkyrkoförsamlingen,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Alf Ross,Köpenhamn,Kungariket Danmark,Köpenhamns universitet,Köpenhamns kommun,Danmark,Uppsala universitet,1477-01-01T00:00:00Z
Gustaf Malme,Stora Malms församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Emanuel Wikström,Vänersborgs församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl David af Wirsén,Vallentuna församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Daniel Solander,Piteå landsförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Afzelius,Larvs församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Veit Wittrock,Holms församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Magnus Huss,Torps församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Karl Gustav Jöreskog,Åmål,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Einar Billing,Lunds domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Laurentius Stigzelius,Stigsjö församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Jan Waldenström,Stockholm,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Erik Edlund,Edsbergs församling,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Ruben Liljefors,Uppsala domkyrkoförsamling,Sverige,"Vasaskolan, Gävle",Gävle kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Erik Fahlcrantz,Stora Tuna församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Stig Centerwall,Marstrand,Sverige,Chalmers tekniska högskola,Göteborgs kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Hannes Alfvén,Norrköping,Sverige,"University of California, San Diego",La Jolla,USA,Uppsala universitet,1477-01-01T00:00:00Z
Daniel Solander,Piteå landsförsamling,Sverige,British Museum,London Borough of Camden,Storbritannien,Uppsala universitet,1477-01-01T00:00:00Z
Johan Oskar Backlund,Länghem,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
James Finlay Weir Johnston,Paisley,Storbritannien,Durhams universitet,Stockton-on-Tees,Storbritannien,Uppsala universitet,1477-01-01T00:00:00Z
James Finlay Weir Johnston,Paisley,Storbritannien,Durhams universitet,County Durham,Storbritannien,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Carleson,Stockholm,Sverige,Massachusetts Institute of Technology,Cambridge,USA,Uppsala universitet,1477-01-01T00:00:00Z
Hannes Alfvén,Norrköping,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Robert Elias Fries,Uppsala domkyrkoförsamling,Sverige,Botaniska trädgården,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Otto Nordenskjöld,Jönköpings län,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Otto Nordenskjöld,Jönköpings län,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Carl Wilcke,Wismar,Tyskland,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Robert Elias Fries,Uppsala domkyrkoförsamling,Sverige,Naturhistoriska riksmuseet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Robert Elias Fries,Uppsala domkyrkoförsamling,Sverige,Bergianska trädgården,Frescati,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Artur Hazelius,Adolf Fredriks församling,Sverige,Nordiska museet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Oskar Backlund,Länghem,Sverige,Pulkovo-observatoriet,Sankt Petersburg,Ryssland,Uppsala universitet,1477-01-01T00:00:00Z
Gustav Cassel,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johannes Steuchius,Härnösands domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hans Rosling,Uppsala domkyrkoförsamling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johannes Steuchius,Härnösands domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Nils Dunér,Billeberga församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Erik Gustaf Lidbeck,Edsleskogs församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Johan Tornberg,Linköping,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Helge Backlund,Tartu,Estland,Åbo Akademi,Vasa,Finland,Uppsala universitet,1477-01-01T00:00:00Z
Thore Fries,Uppsala domkyrkoförsamling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Lindman,Halmstad,Sverige,Naturhistoriska riksmuseet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Eli Heckscher,Stockholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Lindman,Halmstad,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Bovallius,Maria Magdalena församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Skottsberg,Karlshamns församling,Sverige,Göteborgs botaniska trädgård,Göteborgs kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Eli Heckscher,Stockholm,Sverige,Handelshögskolan i Stockholm,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gunnar Säve-Söderbergh,Falun,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Robert Elias Fries,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Thore Fries,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Knut Ångström,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Carleson,Stockholm,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Olof Swartz,Norrköpings S:t Johannes församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
David Enskog,Västra Ämtervik,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gustaf Malme,Stora Malms församling,Sverige,Naturhistoriska riksmuseet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Otto Steiger,Dresden,Tyskland,Rutgers University,New Jersey,USA,Uppsala universitet,1477-01-01T00:00:00Z
Jacob Axel Josephson,Stockholm,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Jan Waldenström,Stockholm,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Otto Steiger,Dresden,Tyskland,Lettlands universitet,Riga,Lettland,Uppsala universitet,1477-01-01T00:00:00Z
Otto Steiger,Dresden,Tyskland,Universität Bremen,Bremen,Tyskland,Uppsala universitet,1477-01-01T00:00:00Z
Arne Beurling,Göteborg,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Birger Mörner,Nora stadsförsamling,Sverige,Sveriges ambassad i Helsingfors,Helsingfors,Finland,Uppsala universitet,1477-01-01T00:00:00Z
Johann Christian Daniel von Schreber,Weißensee,Tyskland,Friedrich-Alexander-Universität Erlangen-Nürnberg,Nürnberg,Tyskland,Uppsala universitet,1477-01-01T00:00:00Z
Michael Eneman,Enköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Matthias Norberg,Nätra församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hans Rosling,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Otto Steiger,Dresden,Tyskland,Universität Bremen,Horn-Lehe,Tyskland,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Heimer,Östersund,Sverige,University of Virginia,Charlottesville,USA,Göteborgs universitet,1954-07-01T00:00:00Z
Christian Boeck,Kongsberg,Norge,Köpenhamns universitet,Köpenhamns kommun,Danmark,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Heimer,Östersund,Sverige,Massachusetts Institute of Technology,Cambridge,USA,Göteborgs universitet,1954-07-01T00:00:00Z
Pehr Kalm,Själevads församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Carl Skottsberg,Karlshamns församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Robert Elias Fries,Uppsala domkyrkoförsamling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Yngve Sjöstedt,Hjo,Sverige,Naturhistoriska riksmuseet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johann Christian Daniel von Schreber,Weißensee,Tyskland,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Tyskland,Uppsala universitet,1477-01-01T00:00:00Z
Hjalmar Möller,Ystads församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Johan Peter Falck,Broddetorps församling,Sverige,Sankt Petersburgs vetenskapsakademi,Sankt Petersburg,Ryssland,Uppsala universitet,1477-01-01T00:00:00Z
Boel Berner,Helsingborg,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Tycho Norlindh,Glimåkra,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Robert Malmgren,Uddevalla församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Gunnar Heckscher,Djursholm,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Sten Grillner,Stockholm,Sverige,Karolinska Institutet,Solna kommun,Sverige,Göteborgs universitet,1954-07-01T00:00:00Z
Sven Delblanc,Swan River,Kanada,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johnny Roosval,Kalmar domkyrkoförsamling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johnny Roosval,Kalmar domkyrkoförsamling,Sverige,Nordiska museet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Daniel Kallós,Uppsala,Sverige,Umeå universitet,Umeå kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Sigfridus Aronus Forsius,Finland,Finland,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gustaf Retzius,Kungsholms församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Fredrik Johan Cederschiöld,Sjösås församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Tord Hall,Jönköping,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
James Finlay Weir Johnston,Paisley,Storbritannien,Durhams universitet,Durham,Storbritannien,Uppsala universitet,1477-01-01T00:00:00Z
Stig Strömholm,Boden,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lars Fredrik Nilson,Skönberga församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Per Daniel Amadeus Atterbom,Åsbo församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan David Åkerblad,Stockholm,Sverige,Göttingens universitet,Göttingen,Tyskland,Uppsala universitet,1477-01-01T00:00:00Z
Lennart Carleson,Stockholm,Sverige,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hedvig Hricak,Zagreb,Kroatien,Cornell University,Ithaca,USA,Karolinska Institutet,1810-01-01T00:00:00Z
Otto Maenchen-Helfen,Wien,Österrike,"University of California, Berkeley",Berkeley,USA,Göteborgs universitet,1954-07-01T00:00:00Z
Elias Wessén,Linderås församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Åke Åkerström,Örebro,Sverige,Svenska institutet i Athen,Aten,Grekland,Uppsala universitet,1477-01-01T00:00:00Z
Bertil Lundman,Malmö,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gunnar Bjursell,Bo-Svennevads församling,Sverige,Karolinska Institutet,Solna kommun,Sverige,Karolinska Institutet,1810-01-01T00:00:00Z
Rudolf Kjellén,Torsö församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Anders Spole,Barnarps församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Gunnar Heckscher,Djursholm,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Lena Sommestad,Börje socken,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Göran Wahlenberg,Kroppa församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Adam Tingstadius,Lunda församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Percy Quensel,Marstrands församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Salomon Eberhard Henschen,Uppsala domkyrkoförsamling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Hjalmar Möller,Ystads församling,Sverige,Sveriges utsädesförening,Svalövs kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Matthias Norberg,Nätra församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Otto Steiger,Dresden,Tyskland,Triestes universitet,Trieste,Italien,Uppsala universitet,1477-01-01T00:00:00Z
Gustaf Nordlund,Liverpool,Storbritannien,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Erik Gustaf Geijer,Ransäters församling,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Per Teodor Cleve,Storkyrkoförsamlingen,Sverige,Uppsala universitet,Uppsala kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
