personLabel,placeLabel,countryLabel,organisationLabel,orgnPlaceLabel,orgnCountryLabel,univLabel,founded
Sara Zahedi,Teheran,Iran,Kungliga Tekniska högskolan,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Helge Bäckström,Örebro Nikolai församling,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Ulla Ehrensvärd,Engelbrekts församling,Sverige,Stockholms stadsbibliotek,Stockholm,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Ulla Ehrensvärd,Engelbrekts församling,Sverige,Stockholms stadsbibliotek,Stockholms kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Anders Bárány,Uppsala,Sverige,Stockholms universitet,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Ann Heberlein,Malmö,Sverige,Lunds universitet,Lunds kommun,Sverige,Lunds universitet,1666-12-19T00:00:00Z
Tord Ganelius,Stockholm,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Einar Stenhagen,Söderala församling,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Kungliga Tekniska högskolan,1827-01-01T00:00:00Z
Natanael Beckman,Hassle församling,Sverige,Göteborgs universitet,Göteborgs kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Walter Kaudern,Stockholm,Sverige,Göteborgs museum,Göteborgs kommun,Sverige,Stockholms universitet,1878-01-01T00:00:00Z
Anders Fällström,Sollefteå,Sverige,Mittuniversitetet,Jämtlands län,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Aija Priedīte,Riga,Lettland,Münsters universitet,Münster,Tyskland,Stockholms universitet,1878-01-01T00:00:00Z
Ebba Witt-Brattström,Stockholm,Sverige,Humboldt-Universität zu Berlin,Berlin,Tyskland,Stockholms universitet,1878-01-01T00:00:00Z
Anders Fällström,Sollefteå,Sverige,Mittuniversitetet,Västernorrlands län,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Sven Peter Bæckström,Långemåla socken,Sverige,Löwenströmska lasarettet,Uppland,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Sven Peter Bæckström,Långemåla socken,Sverige,Löwenströmska lasarettet,Upplands Väsby kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Natanael Beckman,Hassle församling,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Stefan Jansson,Svegs församling,Sverige,Umeå universitet,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Karin Eriksson,S:t Görans församling,Sverige,Västerbottens museum,Umeå kommun,Sverige,Umeå universitet,1965-01-01T00:00:00Z
Sven Peter Bæckström,Långemåla socken,Sverige,Löwenströmska lasarettet,Upplands-Väsby landskommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Johan Ehrenpreus,Stockholms stad,Sverige,Stora Sjötullen,Stockholms kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Oscar Sjöberg,Gästrikland,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
Oscar Sjöberg,Ovansjö distrikt,Sverige,Lunds universitet,Lunds kommun,Sverige,Uppsala universitet,1477-01-01T00:00:00Z
